packets_per_sec,avg_packet_size
0,
2,1498.0
86,238.03488372093022
85,194.9294117647059
88,189.4431818181818
88,188.0568181818182
88,187.97727272727272
89,186.40449438202248
88,188.27272727272728
88,188.35227272727272
88,188.10227272727272
88,188.1590909090909
88,188.1590909090909
88,188.11363636363637
88,188.54545454545453
88,187.85227272727272
88,187.97727272727272
88,188.4659090909091
89,188.3370786516854
87,187.88505747126436
89,188.41573033707866
88,188.45454545454547
5,668.2
16,739.9375
53,235.16981132075472
86,157.82558139534885
87,159.75862068965517
86,157.5
85,156.25882352941176
87,158.7471264367816
86,157.37209302325581
86,158.22093023255815
87,156.44827586206895
86,157.09302325581396
86,158.53488372093022
86,157.58139534883722
86,157.7674418604651
86,157.36046511627907
86,157.2906976744186
86,158.08139534883722
86,157.82558139534885
87,159.1264367816092
85,155.98823529411766
88,157.75
57,156.9298245614035
35,282.0
84,162.39285714285714
82,163.3780487804878
85,158.83529411764707
88,158.2840909090909
86,157.52325581395348
85,155.89411764705883
87,158.816091954023
86,158.15116279069767
87,156.29885057471265
86,157.74418604651163
85,159.38823529411764
87,156.22988505747125
86,157.7674418604651
86,157.03488372093022
85,159.2941176470588
87,156.50574712643677
86,157.86046511627907
87,158.44827586206895
85,156.76470588235293
69,156.82608695652175
32,265.78125
86,166.77906976744185
85,157.10588235294117
86,157.77906976744185
87,158.80459770114942
85,156.58823529411765
86,157.3372093023256
86,157.69767441860466
86,157.88372093023256
88,157.76136363636363
86,157.75581395348837
86,158.02325581395348
86,157.4418604651163
85,158.78823529411764
87,156.32183908045977
86,157.63953488372093
86,157.87209302325581
86,157.6860465116279
86,157.48837209302326
86,158.0581395348837
79,156.69620253164558
79,228.43037974683546
82,165.78048780487805
85,159.09411764705882
87,156.3793103448276
86,157.7674418604651
87,158.83908045977012
86,157.91860465116278
85,156.12941176470588
87,159.0
86,157.01162790697674
87,157.27586206896552
86,157.82558139534885
84,157.42857142857142
86,157.5581395348837
87,158.54022988505747
87,157.20689655172413
86,157.2674418604651
86,158.0581395348837
86,157.01162790697674
86,158.47674418604652
11,150.0
0,
89,204.0
86,157.8139534883721
87,159.06896551724137
85,156.68235294117648
87,159.13793103448276
87,156.26436781609195
84,157.67857142857142
88,157.79545454545453
86,157.56976744186048
86,157.3139534883721
85,159.2941176470588
87,156.66666666666666
86,157.6627906976744
86,157.09302325581396
86,158.08139534883722
86,158.09302325581396
85,158.52941176470588
87,156.4712643678161
86,157.5581395348837
85,159.24705882352941
29,136.9655172413793
75,212.85333333333332
59,205.4406779661017
87,157.60919540229884
87,158.89655172413794
87,156.29885057471265
86,157.46511627906978
86,157.8139534883721
86,157.8953488372093
86,157.63953488372093
